Time (s),Velocity Beam 1 (m/s),Velocity Beam 2 (m/s),Velocity Beam 3 (m/s),Velocity Beam 4 (m/s),SNR Beam 1 (dB),SNR Beam 2 (dB),SNR Beam 3 (dB),SNR Beam 4 (dB),u (m/s),v (m/s),w (m/s)
1720611590.657,"[0.1581, 0.1796, 0.1819]","[0.0938, 0.1279, -0.0354]","[0.0341, 0.0524, -0.0406]","[0.1002, 0.1075, 0.0474]",,,,,0.31443510742187497,-0.04831500651041664,0.096180615234375
1720611590.673,"[0.1495, 0.2197, 0.1765]","[0.0882, 0.0842, 0.0288]","[0.0289, 0.0104, -0.0299]","[0.0693, 0.0871, 0.0323]",34.3465,29.44643333333333,27.2685,34.1746,0.3564917724609375,0.005079402669270838,0.09423477376302082
1720611590.673,"[0.1429, 0.1058, 0.1608]","[0.0977, 0.0751, 0.1087]","[0.0308, 0.0042, 0.048]","[0.0749, 0.0287, 0.0969]",31.872566666666668,25.75176666666667,28.4953,31.453433333333333,0.2175101318359375,0.05161853027343751,0.08397831217447917
1720611590.688,"[0.1291, 0.1142, 0.1283]","[0.0848, 0.0738, 0.1255]","[0.0346, 0.009, 0.0612]","[0.0822, 0.0561, 0.117]",34.309866666666665,31.506333333333334,32.236700000000006,33.29366666666667,0.17753368326822913,0.01745179036458333,0.08135472005208333
1720611590.704,"[0.137, 0.1471, 0.2197]","[0.075, 0.0598, 0.1472]","[0.0132, 0.0067, 0.0757]","[0.0981, 0.0996, 0.1425]",33.530699999999996,31.446299999999997,32.9478,34.39836666666667,0.2709827962239584,-0.04092019856770834,0.10217941080729169
1720611590.711,"[0.1732, 0.1409, 0.2138]","[0.0909, 0.0593, 0.0442]","[-0.0044, -0.0008, 0.0517]","[0.1092, 0.0895, 0.0811]",35.58756666666667,37.179566666666666,34.38113333333333,33.89383333333333,0.31944951985677084,-0.059338305664062486,0.09769372558593749
1720611590.711,"[0.1451, 0.1356, 0.1486]","[0.083, 0.0376, -0.3538]","[0.0116, 0.0255, 0.0065]","[0.0864, 0.079, 0.0219]",33.22956666666667,36.55596666666667,30.367033333333335,32.9142,0.2539615966796875,-0.28036968587239586,0.08045703938802083
1720611590.726,"[0.1348, 0.1954, 0.2305]","[0.0395, 0.0891, 0.0884]","[-0.0045, 0.0258, -0.0612]","[0.0224, 0.0816, -0.0097]",30.330433333333332,31.369,25.264466666666664,29.542033333333336,0.3998388509114583,0.07757619628906251,0.0881700927734375
1720611590.742,"[0.1514, 0.1262, 0.0454]","[0.0844, -0.029, 0.0393]","[-0.0192, -0.0769, -0.0566]","[0.1337, 0.0639, -0.04]",29.4749,26.316333333333333,23.90743333333333,27.472933333333334,0.31559538574218754,-0.04440908203124999,0.028138085937500005
1720611590.742,"[0.0216, 0.1477, 0.2099]","[-0.0347, -0.0469, -0.0594]","[-0.0941, -0.1632, -0.1801]","[0.0064, 0.0122, -0.0392]",30.305999999999997,28.117866666666668,28.583766666666666,30.084233333333334,0.54159365234375,-0.08443561197916667,-0.012046582031250008
