Time (s),Velocity Beam 1 (m/s),Velocity Beam 2 (m/s),Velocity Beam 3 (m/s),Velocity Beam 4 (m/s),SNR Beam 1 (dB),SNR Beam 2 (dB),SNR Beam 3 (dB),SNR Beam 4 (dB),u (m/s),v (m/s),w1 (m/s),w2 (m/s)
1720617416.417,"[0.0852, -0.0542, 0.2449]","[-0.181, 0.1045, -0.0955]","[-0.3094, -0.0455, -0.1877]","[-0.0316, 0.2346, 0.1209]",,,,,0.5404489339192707,-0.33275482584635413,-0.04794662272135416,0.026756746419270838
1720617416.417,"[0.2545, 0.3248, 0.1944]","[-0.0709, -0.183, 0.0268]","[-0.2412, 0.0265, -0.1818]","[0.0441, -0.2993, -0.0698]",44.16806666666667,41.865,41.29943333333333,40.8722,0.7780537190755208,0.057821232096354175,0.06203413899739584,-0.09421482747395833
1720617416.417,"[-0.2319, -0.2674, 0.2883]","[0.0706, -0.0002, -0.0631]","[0.2291, -0.152, -0.2696]","[-0.1278, 0.1719, 0.0787]",41.63003333333334,39.1337,39.74203333333333,43.278999999999996,-0.013240112304687468,-0.07625406901041669,-0.06942057291666667,0.02238973795572917
1720617416.432,"[-0.1261, 0.0051, -0.2053]","[0.1634, 0.262, -0.1146]","[-0.159, -0.2318, 0.0024]","[0.1666, 0.0969, -0.3546]",41.69413333333333,40.13163333333333,41.53033333333333,41.8813,0.043131127929687506,0.2654373779296875,-0.12319676920572918,0.03787793782552085
1720617416.432,"[-0.3256, -0.3082, 0.2262]","[-0.0179, -0.0011, 0.1458]","[-0.1246, -0.1684, -0.0586]","[0.0761, 0.1009, 0.225]",44.4631,39.764433333333336,39.7339,40.807066666666664,-0.039384440104166606,-0.18162724609375003,-0.13056474609375,0.09101861979166669
1720617416.448,"[-0.386, 0.2181, -0.0457]","[0.3967, -0.2529, 0.0434]","[-0.0246, -0.1158, -0.0603]","[0.0007, -0.2962, -0.1451]",39.788833333333336,38.611866666666664,39.43076666666666,40.91389999999999,-0.005064184570312495,0.4152543294270834,-0.07129379882812502,-0.04364506022135417
1720617416.463,"[0.2414, 0.1897, 0.1965]","[-0.1892, 0.0314, 0.0447]","[-0.2896, 0.0706, 0.3997]","[0.2108, 0.235, -0.2983]",33.79213333333333,35.553,34.00573333333333,32.86436666666666,0.29573650716145833,-0.1750032552083333,0.13804754231770835,0.006251017252604167
1720617416.47,"[0.2304, 0.2175, 0.167]","[0.0252, 0.0004, -0.0005]","[0.0331, 0.0339, 0.0498]","[0.2975, 0.2572, -0.3919]",39.792899999999996,35.378,38.88753333333333,41.1713,0.3303857259114583,-0.09402899576822914,0.12473301595052082,0.03272129720052084
1720617416.486,"[-0.2118, -0.2398, -0.2063]","[0.1767, 0.0853, 0.1488]","[0.1492, -0.2092, 0.1824]","[-0.1233, 0.2562, 0.2155]",39.114399999999996,38.8204,40.448,40.977,-0.5183128580729167,0.04589045410156254,-0.09025480957031251,0.13016312662760418
1720617416.486,"[-0.2124, -0.2833, 0.1771]","[-0.0383, 0.0484, -0.1164]","[-0.2162, -0.1557, -0.145]","[-0.0532, 0.1471, 0.1324]",40.6779,38.19173333333334,38.99333333333333,41.16413333333333,0.12919493815104163,-0.22108289388020833,-0.14433173828124998,0.0208093017578125
